cases,covid: (United States),COVID-19: (United States),COVID-19 vaccine: (United States),onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
15047.0,33,81,0.5,41917,100698,14437,31186,36394.375,-45.0,-15.0,-20.0,-47.0,-33.0,14.0
15422.0,28,35,0.5,38083,102580,13555,49597,32591.8125,-41.0,-11.0,2.0,-42.0,-32.0,12.0
13553.0,29,34,0.5,33815,94028,12759,62289,35660.3438,-34.0,-4.0,28.0,-35.0,-29.0,10.0
12278.0,28,35,0.5,39592,85950,12672,37340,32065.8281,-30.0,7.0,9.0,-35.0,-26.0,9.0
9994.0,26,31,1.0,42471,76174,9793,56302,22816.5859,-30.0,-3.0,32.0,-34.0,-24.0,9.0
8554.0,25,29,1.0,34872,65686,8151,92911,25419.207,-27.0,0.0,43.0,-30.0,-21.0,7.0
6614.0,21,23,0.5,29171,58612,6576,133004,34657.3965,-24.0,-1.0,48.0,-26.0,-12.0,6.0
6118.0,19,22,0.5,25885,50583,5712,90843,20550.8018,-21.0,1.0,51.0,-25.0,-13.0,5.0
5214.0,21,26,1.0,20995,43575,5257,59713,16411.5991,-18.0,2.0,74.0,-20.0,-10.0,4.0
4220.0,30,34,1.0,17858,38665,4189,63560,16046.2004,-17.0,6.0,69.0,-20.0,-11.0,3.0
3965.0,38,43,1.0,15603,37127,3783,63478,20203.8998,-19.0,-1.0,62.0,-20.0,-12.0,4.0
3700.0,33,37,1.0,14376,38425,3484,122699,22776.0501,-35.0,-2.0,81.0,-30.0,-28.0,5.0
5253.0,40,42,1.0,14943,40722,4627,101139,31580.9749,-19.0,0.0,62.0,-21.0,-12.0,4.0
5539.0,38,41,1.0,16030,43756,5161,126814,31103.0125,-19.0,-1.0,74.0,-21.0,-13.0,4.0
6485.0,34,38,1.0,17528,61304,6352,156323,33335.4937,-19.0,-2.0,77.0,-21.0,-13.0,4.0
8019.0,32,36,1.0,19126,73121,8018,182113,32894.7531,-17.0,0.0,69.0,-20.0,-14.0,4.0
7271.0,29,32,1.0,18639,70199,7258,180719,35842.1234,-17.0,-1.0,79.0,-20.0,-13.0,3.0
7060.0,26,29,1.0,17715,65059,7504,174951,27076.9383,-18.0,-2.0,67.0,-21.0,-14.0,3.0
6801.0,26,29,1.0,16589,60496,6901,166197,23045.5309,-17.0,-2.0,66.0,-21.0,-12.0,3.0
6315.0,23,26,1.0,14824,54088,6523,154336,20011.2346,-17.0,-4.0,49.0,-23.0,-13.0,4.0
5869.0,28,30,1.0,14190,49101,5903,160513,17906.3827,-15.0,0.0,81.0,-18.0,-17.0,2.0
5141.0,25,30,1.0,12836,45881,5107,135757,16505.8086,-16.0,-4.0,50.0,-22.0,-12.0,3.0
5574.0,25,28,1.0,11143,43716,5551,137013,16404.5957,-13.0,-2.0,62.0,-21.0,-11.0,2.0
5381.0,26,30,1.0,10845,43263,5281,171793,16726.7022,-15.0,-3.0,52.0,-23.0,-10.0,2.0
4917.0,50,56,1.0,10609,43161,4786,141440,17452.6489,-13.0,-1.0,42.0,-20.0,-11.0,2.0
4996.0,31,37,1.0,11214,45650,4836,141146,20818.6755,-16.0,-4.0,46.0,-22.0,-11.0,3.0
5032.0,32,35,1.0,12145,50051,4874,155471,22114.6622,-14.0,-3.0,41.0,-20.0,-11.0,3.0
5752.0,35,37,1.0,14248,57140,5671,184159,37903.1689,-16.0,-4.0,28.0,-23.0,-10.0,3.0
5748.0,39,42,1.0,16491,64137,5722,202571,27731.4156,-16.0,2.0,27.0,-23.0,-10.0,3.0
6971.0,35,38,1.0,19425,74530,6997,235061,32744.2922,-16.0,-6.0,23.0,-27.0,-10.0,4.0
7608.0,61,64,2.0,23988,87230,7791,293906,41921.3539,-18.0,-6.0,2.0,-29.0,-10.0,5.0
10259.0,64,71,2.0,32194,107055,10228,379686,48916.3231,-20.0,-4.0,4.0,-26.0,-10.0,5.0
10143.0,48,51,2.0,40463,122850,10187,489165,49389.8385,-26.0,-15.0,-1.0,-32.0,-18.0,7.0
15053.0,53,58,4.0,47132,135737,15033,546293,59034.0808,-20.0,-6.0,-9.0,-33.0,-9.0,6.0
